turn,chosen,chosen_power,chosen_prob,best,best_power,ratio,dominated
5,trickroom,0.0,0.184,glaciallance,180.0,,1
9,curse,0.0,0.316,wavecrash,180.0,,1
19,lashout,75.0,0.386,doubleedge,180.0,2.4,1
20,roost,0.0,0.43,bravebird,180.0,,1
6,stoneedge,200.0,0.322,stoneedge,200.0,1.0,0
1,nuzzle,30.0,0.329,doubleshock,180.0,6.0,1
14,muddywater,180.0,0.995,muddywater,180.0,1.0,0
10,wish,0.0,0.545,dazzlinggleam,120.0,,1
10,curse,0.0,0.335,wavecrash,180.0,,1
20,lashout,75.0,0.355,doubleedge,180.0,2.4,1
14,protect,0.0,0.501,scald,120.0,,1
16,ironhead,240.0,1.0,ironhead,240.0,1.0,0
21,roost,0.0,0.375,bravebird,180.0,,1
15,voltswitch,105.0,0.539,muddywater,180.0,1.71,1
6,closecombat,180.0,0.463,doubleshock,180.0,1.0,0
11,curse,0.0,0.382,wavecrash,180.0,,1
2,dragondance,0.0,0.15,outrage,180.0,,1
7,willowisp,0.0,0.475,shadowball,120.0,,1
15,protect,0.0,0.512,scald,120.0,,1
22,bravebird,180.0,0.371,bravebird,180.0,1.0,0
11,protect,0.0,0.251,dazzlinggleam,120.0,,1
7,closecombat,180.0,0.237,doubleshock,180.0,1.0,0
12,curse,0.0,0.443,wavecrash,180.0,,1
17,ironhead,160.0,1.0,ironhead,160.0,1.0,0
3,haze,0.0,0.468,scald,120.0,,1
8,willowisp,0.0,0.305,shadowball,120.0,,1
16,protect,0.0,0.523,scald,120.0,,1
1,reflect,0.0,0.227,psychicnoise,112.5,,1
23,bravebird,180.0,0.682,bravebird,180.0,1.0,0
12,wish,0.0,0.371,dazzlinggleam,120.0,,1
8,closecombat,120.0,0.339,glaciallance,180.0,1.5,0
13,curse,0.0,0.531,wavecrash,180.0,,1
4,haze,0.0,0.366,scald,120.0,,1
17,wish,0.0,0.266,scald,120.0,,1
18,ironhead,160.0,1.0,ironhead,160.0,1.0,0
9,protect,0.0,0.497,foulplay,142.5,,1
2,alluringvoice,120.0,0.509,alluringvoice,120.0,1.0,0
16,knockoff,130.0,0.967,knockoff,130.0,1.0,0
5,haze,0.0,0.364,scald,120.0,,1
13,wish,0.0,0.356,dazzlinggleam,120.0,,1
14,curse,0.0,0.636,wavecrash,180.0,,1
19,ironhead,160.0,1.0,ironhead,160.0,1.0,0
10,protect,0.0,0.484,foulplay,142.5,,1
3,alluringvoice,120.0,0.845,alluringvoice,120.0,1.0,0
24,bravebird,180.0,0.929,bravebird,180.0,1.0,0
14,wish,0.0,0.385,dazzlinggleam,120.0,,1
6,haze,0.0,0.302,scald,120.0,,1
9,closecombat,180.0,0.358,doubleshock,180.0,1.0,0
15,curse,0.0,0.743,wavecrash,180.0,,1
18,protect,0.0,0.422,scald,120.0,,1
11,foulplay,142.5,0.417,foulplay,142.5,1.0,0
4,alluringvoice,120.0,0.935,alluringvoice,120.0,1.0,0
17,voltswitch,105.0,0.774,thunderbolt,135.0,1.29,0
15,wish,0.0,0.365,dazzlinggleam,120.0,,1
7,haze,0.0,0.32,scald,120.0,,1
19,protect,0.0,0.424,scald,120.0,,1
16,curse,0.0,0.748,wavecrash,180.0,,1
1,earthquake,200.0,0.137,earthquake,200.0,1.0,0
12,foulplay,142.5,0.612,foulplay,142.5,1.0,0
25,bulletseed,100.0,1.0,bulletseed,100.0,1.0,0
16,wish,0.0,0.394,dazzlinggleam,120.0,,1
10,torchsong,120.0,0.354,shadowball,120.0,1.0,0
17,curse,0.0,0.749,wavecrash,180.0,,1
20,protect,0.0,0.426,scald,120.0,,1
2,earthquake,200.0,0.787,earthquake,200.0,1.0,0
1,knockoff,130.0,0.656,beakblast,150.0,1.15,0
5,thunderbolt,270.0,1.0,thunderbolt,270.0,1.0,0
17,wish,0.0,0.368,dazzlinggleam,120.0,,1
18,curse,0.0,0.751,wavecrash,180.0,,1
8,dragondance,0.0,0.223,outrage,180.0,,1
3,earthquake,200.0,0.309,earthquake,200.0,1.0,0
21,protect,0.0,0.301,scald,120.0,,1
2,knockoff,130.0,0.86,beakblast,150.0,1.15,0
13,knockoff,65.0,0.395,doubleedge,180.0,2.77,1
6,thunderbolt,270.0,1.0,thunderbolt,270.0,1.0,0
26,bulletseed,25.0,0.924,uturn,35.0,1.4,0
11,torchsong,60.0,0.278,shadowball,120.0,2.0,1
18,wish,0.0,0.398,dazzlinggleam,120.0,,1
19,curse,0.0,0.751,wavecrash,180.0,,1
3,beakblast,150.0,0.577,beakblast,150.0,1.0,0
27,uturn,35.0,0.981,uturn,35.0,1.0,0
12,torchsong,60.0,0.345,shadowball,120.0,2.0,1
19,wish,0.0,0.374,dazzlinggleam,120.0,,1
20,curse,0.0,0.752,wavecrash,180.0,,1
4,closecombat,120.0,0.318,closecombat,120.0,1.0,0
22,stompingtantrum,0.0,0.558,sludgebomb,135.0,,1
14,knockoff,32.5,0.295,doubleedge,180.0,5.54,1
7,leafstorm,97.5,0.369,leafstorm,97.5,1.0,0
20,wish,0.0,0.392,dazzlinggleam,120.0,,1
21,curse,0.0,0.752,wavecrash,180.0,,1
23,gigadrain,28.1,0.526,sludgebomb,135.0,4.8,1
4,surf,270.0,0.454,surf,270.0,1.0,0
28,earthquake,400.0,1.0,earthquake,400.0,1.0,0
8,thunderbolt,67.5,0.136,leafstorm,97.5,1.44,0
13,bulletseed,50.0,0.471,machpunch,120.0,2.4,1
21,wish,0.0,0.365,dazzlinggleam,120.0,,1
22,curse,0.0,0.753,wavecrash,180.0,,1
5,bellydrum,0.0,0.422,earthquake,200.0,,1
15,haze,0.0,0.606,scald,120.0,,1
9,hydropump,165.0,0.788,hydropump,165.0,1.0,0
22,wish,0.0,0.366,dazzlinggleam,120.0,,1
23,curse,0.0,0.753,wavecrash,180.0,,1
11,shiftgear,0.0,0.412,gunkshot,180.0,,1
6,earthquake,200.0,0.528,earthquake,200.0,1.0,0
5,surf,45.0,1.0,surf,45.0,1.0,0
1,drainingkiss,150.0,0.065,drainingkiss,150.0,1.0,0
29,bulletseed,25.0,0.592,uturn,35.0,1.4,0
16,haze,0.0,0.269,scald,120.0,,1
14,swordsdance,0.0,0.388,machpunch,60.0,,1
23,wish,0.0,0.345,dazzlinggleam,120.0,,1
12,shiftgear,0.0,0.342,gunkshot,180.0,,1
24,curse,0.0,0.754,wavecrash,180.0,,1
7,earthquake,200.0,0.437,earthquake,200.0,1.0,0
6,surf,45.0,1.0,surf,45.0,1.0,0
10,nastyplot,0.0,0.384,leafstorm,97.5,,1
17,scald,120.0,0.3,scald,120.0,1.0,0
24,wish,0.0,0.316,dazzlinggleam,120.0,,1
1,woodhammer,360.0,0.604,woodhammer,360.0,1.0,0
13,shiftgear,0.0,0.337,gunkshot,180.0,,1
25,sleeptalk,0.0,0.532,wavecrash,180.0,,1
7,surf,45.0,0.998,surf,45.0,1.0,0
2,drainingkiss,37.5,1.0,mysticalfire,75.0,2.0,1
15,roar,0.0,0.365,icebeam,180.0,,1
25,encore,0.0,0.323,dazzlinggleam,120.0,,1
8,slackoff,0.0,0.495,futuresight,180.0,,1
14,shiftgear,0.0,0.346,gunkshot,180.0,,1
26,sleeptalk,0.0,0.378,wavecrash,180.0,,1
3,drainingkiss,37.5,0.998,mysticalfire,75.0,2.0,1
11,calmmind,0.0,0.493,hypervoice,90.0,,1
18,shadowball,120.0,0.391,shadowball,120.0,1.0,0
2,poltergeist,165.0,0.0,poltergeist,165.0,1.0,0
26,encore,0.0,0.284,dazzlinggleam,120.0,,1
9,slackoff,0.0,0.537,futuresight,180.0,,1
8,fleurcannon,390.0,1.0,fleurcannon,390.0,1.0,0
1,aurasphere,240.0,0.976,aurasphere,240.0,1.0,0
27,sleeptalk,0.0,0.394,wavecrash,180.0,,1
4,drainingkiss,37.5,0.945,mysticalfire,75.0,2.0,1
12,calmmind,0.0,0.514,hypervoice,90.0,,1
19,drainingkiss,100.0,0.378,shadowball,120.0,1.2,0
27,encore,0.0,0.289,dazzlinggleam,120.0,,1
15,calmmind,0.0,0.705,drainingkiss,50.0,,1
10,slackoff,0.0,0.459,futuresight,180.0,,1
28,sleeptalk,0.0,0.425,wavecrash,180.0,,1
3,psyshock,120.0,0.973,mysticalfire,150.0,1.25,0
5,drainingkiss,37.5,0.552,mysticalfire,75.0,2.0,1
13,calmmind,0.0,0.412,hypervoice,90.0,,1
16,calmmind,0.0,0.667,drainingkiss,50.0,,1
2,flashcannon,120.0,0.018,aurasphere,120.0,1.0,0
28,encore,0.0,0.253,dazzlinggleam,120.0,,1
4,psyshock,120.0,1.0,mysticalfire,150.0,1.25,0
9,fleurcannon,195.0,0.986,fleurcannon,195.0,1.0,0
11,slackoff,0.0,0.501,futuresight,180.0,,1
29,sleeptalk,0.0,0.464,wavecrash,180.0,,1
6,mysticalfire,75.0,0.976,mysticalfire,75.0,1.0,0
14,calmmind,0.0,0.458,hypervoice,90.0,,1
29,dazzlinggleam,120.0,0.255,dazzlinggleam,120.0,1.0,0
3,aurasphere,80.0,0.998,aurasphere,80.0,1.0,0
1,wavecrash,180.0,0.736,wavecrash,180.0,1.0,0
10,fleurcannon,195.0,0.987,fleurcannon,195.0,1.0,0
12,slackoff,0.0,0.558,futuresight,180.0,,1
15,calmmind,0.0,0.538,hypervoice,90.0,,1
30,dazzlinggleam,120.0,0.401,dazzlinggleam,120.0,1.0,0
17,poisonjab,120.0,0.662,powerwhip,180.0,1.5,0
4,aurasphere,80.0,1.0,aurasphere,80.0,1.0,0
5,psyshock,60.0,0.692,moonblast,71.2,1.19,0
11,fleurcannon,195.0,0.087,fleurcannon,195.0,1.0,0
13,slackoff,0.0,0.612,futuresight,180.0,,1
30,poisonfang,50.0,0.591,throatchop,60.0,1.2,0
7,shadowball,120.0,0.999,shadowball,120.0,1.0,0
16,calmmind,0.0,0.513,hypervoice,90.0,,1
31,protect,0.0,0.362,dazzlinggleam,120.0,,1
2,fireblast,220.0,0.444,fireblast,220.0,1.0,0
18,poisonjab,120.0,0.518,powerwhip,180.0,1.5,0
